P_CODE;P_DESCRIPT;P_INDATE;P_QOH;P_MIN;P_PRICE;P_DISCOUNT;V_CODE
11QER/31;"Power painter, 15 psi., 3-nozzle";"2021-11-03 00:00:00";8;5;109.99;0.00;25595
13-Q2/P2;"7.25-in. pwr. saw blade";"2021-12-13 00:00:00";32;15;14.99;0.05;21344
14-Q1/L3;"9.00-in. pwr. saw blade";"2021-11-13 00:00:00";18;12;17.49;0.00;21344
1546-QQ2;"Hrd. cloth, 1/4-in., 2x50";"2022-01-15 00:00:00";15;8;39.95;0.00;23119
1558-QW1;"Hrd. cloth, 1/2-in., 3x50";"2022-01-15 00:00:00";23;5;43.99;0.00;23119
2232/QTY;"B&D jigsaw, 12-in. blade";"2021-12-30 00:00:00";8;5;109.92;0.05;24288
2232/QWE;"B&D jigsaw, 8-in. blade";"2021-12-24 00:00:00";6;5;99.87;0.05;24288
2238/QPD;"B&D cordless drill, 1/2-in.";"2022-01-20 00:00:00";12;5;38.95;0.05;25595
23109-HB;"Claw hammer";"2022-01-20 00:00:00";23;10;9.95;0.10;21225
23114-AA;"Sledge hammer, 12 lb.";"2022-01-02 00:00:00";8;5;14.40;0.05;NULL
54778-2T;"Rat-tail file, 1/8-in. fine";"2021-12-15 00:00:00";43;20;4.99;0.00;21344
89-WRE-Q;"Hicut chain saw, 16 in.";"2022-02-07 00:00:00";11;5;256.99;0.05;24288
PVC23DRT;"PVC pipe, 3.5-in., 8-ft";"2022-02-20 00:00:00";188;75;5.87;0.00;NULL
SM-18277;"1.25-in. metal screw, 25";"2022-03-01 00:00:00";172;75;6.99;0.00;21225
SW-23116;"2.5-in. wd. screw, 50";"2022-02-24 00:00:00";237;100;8.45;0.00;21231
WR3/TT3;"Steel matting, 4'x8'x1/6", .5" mesh";"2022-01-17 00:00:00";18;5;119.95;0.10;25595
